id,date,deaths
0,"3/20",65
1,"3/21",83
2,"3/22",98
3,"3/23",121
4,"3/25",268
5,"3/26",299
6,"3/27",417
7,"3/28",530
8,"3/29",418
9,"3/30",650
10,"3/31",936
11,"4/1",1021
12,"4/2",1216
13,"4/3",1391
14,"4/4",1556
15,"4/5",1368
16,"4/6",1526
17,"4/7",2234
19,"4/9",2120
20,"4/10",2263
21,"4/11",2084
22,"4/12",1681
23,"4/13",1764
24,"4/14",2704
25,"4/15",2751
26,"4/16",1225
27,"4/17",884
28,"4/18",846
29,"4/19",1520
30,"4/20",1837
31,"4/21",2672
32,"4/23",2169
33,"4/24",620
34,"4/25",570
35,"4/26",747
36,"4/27",1485
37,"4/28",1200
38,"4/29",1190
39,"4/30",963
40,"5/1",1762
